Movie,Distributor,Genre,RunTime,MPAA,Budget,ForeignSale
Maria Full of Grace,Fine Line,Foreign,101,R,,6065006
A Very Long Engagement,Warner Independent,Foreign,134,R,,63591479
Teacher's Pet,Buena Vista,Animation,75,PG,,
The Big Bounce,Warner Bros.,Crime Comedy,108,PG-13,,319074
Beyond the Sea,Lions Gate,Musical,118,PG-13,,2128906
Against the Ropes,Paramount,Sports Drama,115,PG-13,,730090
Before Sunset,Warner Independent,Romance,80,R,,10171966
The Clearing,Fox Searchlight,Drama / Thriller,95,R,,6756924
Never Die Alone,Fox Searchlight,Crime Drama,88,R,,277702
Bad Education,Sony Classics,Foreign,109,NC-17,5000000,35062088
Birth,New Line,Fantasy Drama,100,R,20000000,18830454
Club Dread,Fox Searchlight,Horror Comedy,103,R,,2564099
Touching the Void,IFC,Documentary,106,R,,9292204
Spartan,Warner Bros.,Action Thriller,107,R,,3678280
A Day Without a Mexican,Televisa Cine,Comedy,100,R,,5877131
"Good Bye, Lenin!",Sony Classics,Foreign,121,R,,75320680
Camping Sauvage,Alliance,Foreign,100,Unrated,,5514
The Door in the Floor,Focus Features,Drama,111,R,,2860443
Benji Off the Leash,Mulberry Square,Family Adventure,97,PG,,
Vera Drake,Fine Line,Period Drama,125,R,,9492586
William Shakespeare's The Merchant of Venice,Sony Classics,Period Drama,138,R,30000000,17652140
Born Into Brothels,ThinkFilm,Documentary,85,R,,
The Work and the Glory,Excel,Period Drama,118,PG,,
Veer Zaara,Yash Raj,Foreign,192,Unrated,7000000,
Clifford's Really Big Movie,Warner Bros.,Animation,73,G,,333072
Bobby Jones:Stroke of Genius,Film Foundry,Sports Drama,120,PG,20000000,13842
Therese:The Story of Saint Therese of Lisieux,Luke Films,Period Drama,96,PG,,62812
Control Room,Magnolia,Documentary,83,Unrated,,135210
The Dreamers,Fox Searchlight,Drama,116,NC-17,15000000,12588937
"Spring, Summer, Fall, Winter... and Spring",Sony Classics,Foreign,103,R,,7143957
Bon Voyage,Sony Classics,Foreign,114,PG-13,,6546203
Riding Giants,Sony Classics,Documentary,101,PG-13,,939743
Dans une galaxie pres de chez vous,TVA,Foreign,,Unrated,,
Coffee and Cigarettes,United Artists,Comedy,95,R,,5730383
Intimate Strangers,Paramount Classics,Foreign,104,R,,5010350
The Sea Inside,Fine Line,Foreign,125,PG-13,,36430298
Les Choristes (Quebec),Alliance,Foreign,95,PG-13,,
We Don't Live Here Anymore,Warner Independent,Drama,104,R,3000000,1320199
Santa Vs. the Snowman - Season 3 (IMAX),IMAX,IMAX,,Unrated,,2317721
The Corporation,Zeitgeist,Documentary,145,Unrated,,1112166
Elles etaient cinq,Alliance,Foreign,93,Unrated,,
Elvis Gratton XXX,Christal Films,Comedy,105,Unrated,,
The Story of the Weeping Camel,ThinkFilm,Documentary,87,PG,,7565600
The Blue Butterfly,Alliance,Adventure,97,PG,,
Main Hoon Na,Eros,Foreign,182,Unrated,,9089210
I'm Not Scared,Miramax,Foreign,110,R,,5739090
The Corporation (Canada),Mongrel Media,Documentary,145,Unrated,,
Nouvelle-France,Christal Films,Foreign,145,PG-13,,457577
The Woodsman,Newmarket,Drama,87,R,,3102174
Dogville,Lions Gate,Period Drama,177,R,10000000,15145550
Monica la mitraille,Alliance,Foreign,125,Unrated,,
Le Dernier Tunnel,Christal Films,Foreign,110,Unrated,,
A Dirty Shame,Fine Line,Comedy,88,NC-17,,574498
Saints and Soldiers,Excel,War,90,PG-13,780000,
Osama,United Artists,Foreign,82,PG-13,46000,2617998
Going the Distance (2004),Odeon,Comedy,93,R,,
Swades,UTV Communications,Foreign,180,Unrated,,
Metallica:Some Kind of Monster,IFC,Documentary,140,R,,786379
Festival Express,ThinkFilm,Documentary,90,R,,106598
Ma vie en cinemascope,Alliance,Foreign,90,Unrated,,
The Best Two Years,Halestorm,Comedy,109,PG,,
Les Aimants,Alliance,Foreign,91,Unrated,,
Paper Clips,Slowhand Cinema,Documentary,83,G,,
Nicotina,Arenas Entertainment,Crime Comedy,93,R,,4633143
Tae Guk Gi:The Brotherhood of War,IDP,Foreign / Action,140,R,,68716522
Sacred Planet (IMAX),Buena Vista,IMAX,45,G,,
The Machinist,Paramount Classics,Horror Thriller,102,R,,7120520
The Mother,Sony Classics,Drama,112,R,,1976424
Ghost in the Shell 2:Innocence,DW / Go Fish,Animation,99,PG-13,,8745755
A Home at the End of the World,Warner Independent,Drama,120,R,,519083
Silver City,Newmarket,Comedy Thriller,129,R,,363739
Bright Young Things,ThinkFilm,Period Comedy,106,R,,1748963
Criminal,Warner Independent,Crime Thriller,87,R,,
Mujhse Shaadi Karogi,Zee TV,Foreign,90,Unrated,,
Intermission,IFC,Crime Comedy,103,R,5000000,3959305
Zatoichi:The Blind Swordsman,Miramax,Foreign / Action,115,R,,31167430
Latter Days,TLA Releasing,Romance,97,R,,
The Battle of Algiers (re-issue),Rialto,Foreign,120,Unrated,,
Hum Tum,Yash Raj,Foreign,170,Unrated,,
Stage Beauty,Lions Gate,Period Drama,105,R,,1370687
Young Adam,Sony Classics,Crime Thriller,93,NC-17,,1794447
Lakshya,UTV Communications,Foreign,186,Unrated,,5105642
Donnie Darko:The Director's Cut,Newmarket,Fantasy Drama,133,R,,319627
Rosenstrasse,IDP,Foreign,136,PG-13,,5343297
Fade to Black,Paramount Classics,Concert,106,R,,13155
The Assassination of Richard Nixon,ThinkFilm,Drama,95,R,,3699038
Saddest Music in the World,IFC,Unknown,99,R,,125552
Red Lights,Wellspring,Foreign,105,Unrated,,1700000
Monty Python's Life of Brian (Re-issue),Rainbow Releasing,Comedy,94,R,,199684
Going Upriver:The Long War of John Kerry,ThinkFilm,Documentary,130,PG-13,,
Mean Creek,Paramount Classics,Drama / Thriller,89,R,,
Tarnation,Wellspring,Documentary,88,Unrated,220,
Khakee,Eros,Unknown,174,Unrated,,
Touch of Pink,Sony Classics,Comedy,91,R,,16520
Twilight Samurai,Empire,Foreign,129,Unrated,,6779222
Love Me If You Dare,Paramount Classics,Unknown,93,R,,8007867
The Final Cut,Lions Gate,Sci-Fi Thriller,104,PG-13,,
Facing Windows,Sony Classics,Foreign,106,R,,14986723
National Lampoon's Gold Diggers,P & A Releasing,Comedy,87,PG-13,,
The Return,Kino,Unknown,105,Unrated,,3924837
L'Incomparable Mademoiselle C.,Christal Films,Unknown,102,Unrated,,
Seducing Doctor Lewis,Wellspring,Foreign,108,Unrated,,
Shaolin Soccer,Miramax,Foreign / Action,86,PG,,42287160
Strayed,Wellspring,Foreign,95,Unrated,,2456075
The Last Shot,Buena Vista,Comedy,93,R,,
Outfoxed:Rupert Murdoch's War on Journalism,Cinema Libre,Documentary,77,Unrated,200000,
Callas Forever,Regent Releasing,Music Drama,108,PG-13,,5459398
Primer,ThinkFilm,Unknown,77,PG-13,7000,
Broken Wings,Sony Classics,Unknown,87,R,,338864
In the Realms of the Unreal,Wellspring,Documentary,81,Unrated,,
Godzilla (Original Japanese Version),Rialto,Foreign,98,Unrated,,
Head in the Clouds,Sony Classics,Romance,132,R,,3112327
"Still, We Believe:The Boston Red Sox Movie",ThinkFilm,Documentary,110,PG,,
End of the Century:The Story of the Ramones,Magnolia,Documentary,110,Unrated,,
Short Cut to Nirvana:Kumbh Mela,Mela Films,Documentary,85,Unrated,,58426
The Hunting of the President,Regent Releasing,Documentary,89,Unrated,,
Highwaymen,New Line,Unknown,81,R,,2023341
The Brown Bunny,Wellspring,Drama,92,Unrated,,
She Hate Me,Sony Classics,Comedy / Drama,138,R,,1156340
Baadasssss!,Sony Classics,Unknown,108,R,,
I'll Sleep When I'm Dead,Paramount Classics,Crime Drama,102,R,,130205
Enduring Love,Paramount Classics,Drama / Thriller,91,R,,1315259
Broadway:The Golden Age,Dada Films,Documentary,114,Unrated,,
Kitchen Stories,IFC,Unknown,92,PG,,2262092
Since Otar Left,Zeitgeist,Unknown,102,Unrated,,1283916
The United States of Leland,Paramount Classics,Unknown,108,R,,
Kyon? Ho Gaya Pyu,Eros,Foreign,,Unrated,,
Wooly Boys,MAC Releasing,Unknown,99,PG,,
Yuva,Net Effect,Unknown,160,Unrated,,
Zelary,Sony Classics,Foreign,148,R,,15131272
Ju-On:The Grudge,Vitagraph,Foreign / Horror,90,R,,2679029
Bukowski:Born Into This,Magnolia,Documentary,130,R,,10281
America's Heart and Soul,Buena Vista,Documentary,88,PG,,
Tais-toi,Christal Films,Unknown,85,Unrated,,27408148
Masti,Eros,Unknown,167,Unrated,,374455
Hair Show,Innovation Film Group,Comedy,104,PG-13,,
Silmido,Cinema Service,Unknown,134,Unrated,,
Mickey,Slugger Pictures,Unknown,90,PG,6000000,
I Am David,Lions Gate,Period Drama,95,PG,,3824
Code 46,United Artists,Sci-Fi,92,R,,
Valentin,Miramax,Foreign,86,PG-13,,1415049
This Old Cub,Emerging Pictures,Documentary,91,Unrated,,
Mayor of the Sunset Strip,First Look,Documentary,94,R,,
The Reckoning,Paramount Classics,Unknown,112,R,,
Miaou!,Christal Films,Unknown,,Unrated,,
Greendale,Shakey,Unknown,86,Unrated,,
The Yes Men,United Artists,Documentary,80,R,,
Zatoichi (Canada),Seville,Foreign / Action,115,R,,
Dhoom,Yash Raj,Foreign,123,Unrated,,
Uncovered:The War on Iraq,Cinema Libre,Documentary,83,Unrated,,
Wilbur Wants to Kill Himself,ThinkFilm,Unknown,111,R,4000000,1311211
Asa Nu Maan Watan,Wild Rose,Unknown,179,Unrated,,
Imaginary Heroes,Sony Classics,Drama,112,R,,62351
"Remember Me, My Love",IDP,Foreign,125,R,,12443320
Guiana 1838,RBC Radio,Period Drama,120,Unrated,,
This So-Called Disaster,IFC,Documentary,87,R,,
The Agronomist,ThinkFilm,Documentary,91,PG-13,,
Carandiru,Sony Classics,Unknown,146,R,,10565300
Moolaade,New Yorker,Foreign,124,Unrated,,218907
The Delicate Art of Parking,Cinema Libre,Comedy,87,Unrated,944149,
The Home Teachers,Halestorm,Unknown,81,PG,425000,
Lightning in a Bottle,Sony Classics,Concert,103,PG-13,,
The Snow Walker,Lions Gate,Unknown,109,PG,,
Imelda,Unico Entertainment,Documentary,103,Unrated,,
Around the Bend,Warner Independent,Drama,85,R,,385713
Testosterone,Strand,Comedy / Drama,105,R,,
P.S.,Newmarket,Fantasy Comedy,97,R,,
Bush's Brain,Tartan,Documentary,80,PG-13,,
Stateside,IDP,Drama,96,R,,
Baptists at Our Barbecue,Halestorm,Comedy,93,PG,,
Infernal Affairs,Miramax,Foreign,97,R,,8539273
The Five Obstructions,Koch Lorber Films,Unknown,90,Unrated,,113187
A Love Song for Bobby Long,Lions Gate,Drama,119,R,,1676952
Danny Deckchair,Lions Gate,Romantic Comedy,90,PG-13,,
When Will I Be Loved,IFC,Unknown,84,R,,
Dans l'oeil du chat,Alliance,Unknown,94,Unrated,,
Les Rivieres Pourpres 2 (Crimson Rivers 2),TVA,Unknown,99,R,,40000000
Two Men Went to War,Indican,War,109,PG,,
Crimson Gold,Wellspring,Unknown,97,Unrated,,251809
Days of Being Wild,Kino,Foreign,89,Unrated,,42320
Undertow,United Artists,Unknown,107,R,,
The Lost Skeleton of Cadavra,Sony Repertory,Unknown,90,PG,40000,
Zhou Yu's Train,Sony Classics,Foreign,97,PG-13,,181895
Our Music (Notre Musique),Wellspring,Foreign,80,Unrated,,145432
Stephen King's Riding the Bullet,Innovation Film Group,Horror,98,R,,
Crying Ladies,Unitel Pictures,Unknown,114,Unrated,,
Robot Stories,Pak Films / Shotwell Media,Unknown,85,Unrated,,
Tokyo Godfathers,IDP,Animation,92,PG-13,,
Malevolence,Painted Zebra Releasing,Horror,90,R,200000,
DIG!,Palm,Documentary,109,R,,
Fear and Trembling,Cinema Guild,Foreign,107,Unrated,,
Howard Zinn:You Can't Be Neutral on a Moving Train,First Run,Documentary,78,Unrated,,
"Love, Sex and Eating the Bones",ThinkFilm,Unknown,100,R,,
Games People Play:New York,Artistic License,Unknown,97,Unrated,,
Deewaar,Eros,Foreign,180,Unrated,,
Word Wars,7th Art,Documentary,76,Unrated,,
In the Face of Evil:Reagan's War in Word and Deed,Non-Fiction Films,Documentary,107,PG-13,,
Face,Indican,Drama,89,R,,
Bonjour M. Shlomi,Strand,Foreign,94,Unrated,,
A Slipping Down Life,Lions Gate,Unknown,111,R,,
Carlos Castaneda:Enigma of a Sorcerer,Indican,Documentary,90,Unrated,,
Almost Peaceful,Empire,Foreign,94,Unrated,,
Secret Things,First Run,Unknown,115,Unrated,,117306
Guerrilla:The Taking of Patty Hearst,Magnolia,Documentary,89,Unrated,,
Bear Cub,TLA Releasing,Foreign,92,R,,
Yves St. Laurent,Empire,Documentary,,Unrated,,
Fida,Rainbow Films,Foreign,180,Unrated,,
Aileen:The Life and Death of a Serial Killer,Lantern Lane,Documentary,89,R,,
Distant,New Yorker,Foreign,110,Unrated,,219112
Flavors,Net Effect,Comedy,118,Unrated,,
Celsius 41.11:The Truth Behind the Lies of Fahrenheit 9/11,Citizens United,Documentary,90,R,,
Aitraaz,Zee TV,Foreign,,Unrated,,
Phir Milenge,UTV Communications,Unknown,160,Unrated,,
Seeing Other People,Lantern Lane,Unknown,90,R,,
Ned Kelly,Focus Features,Unknown,110,R,,6498557
Decoys,Lions Gate,Unknown,95,R,,
Dev,Eros,Foreign,172,Unrated,,
Warriors of Heaven and Earth,Sony Classics,Foreign / Action,119,R,,6023242
Brother to Brother,Wolfe Releasing,Drama,90,Unrated,,
Ginger Snaps II:Unleashed,Seville,Unknown,94,R,,
Jack Paradise,K Film,Unknown,,Unrated,,
Effroyables jardins,Cristal,Unknown,97,Unrated,,5714871
Bright Leaves,First Run,Documentary,105,Unrated,,
Eulogy,Lions Gate,Comedy,85,R,,
Deserted Station,First Run,Foreign,88,Unrated,,
Sky Blue,Maxmedia/Endgame Pictures,Animation,86,Unrated,,
Reconstruction,Palm,Unknown,91,PG-13,,
A Tale of Two Sisters,Tartan,Foreign / Horror,115,R,,
The Seagull's Laughter,Cinema Guild,Foreign,102,Unrated,,
Hollywood Buddha,Northern Arts,Unknown,99,Unrated,,
The Inheritance,Cinema Guild,Foreign,115,Unrated,,
Beyond the Gates (2004),Every Tribe,Documentary,112,PG-13,,
Vodka Lemon,New Yorker,Foreign,90,Unrated,,
On the Run:Trilogy 1,Magnolia,Foreign,117,R,,922751
James' Journey to Jerusalem,Zeitgeist,Unknown,87,Unrated,,194059
Her Majesty,Panorama,Unknown,100,PG,,
Untold Scandal,Kino,Foreign,124,Unrated,,5699469
The Mudge Boy,Strand,Unknown,94,R,800000,
Proteus,Strand,Foreign,97,Unrated,,
Time of the Wolf,Palm,Drama,113,R,,437710
You I Love,Picture This!,Foreign,83,Unrated,,
The Bulgarian Lovers,TLA Releasing,Unknown,101,R,,
Noi,Palm,Unknown,93,PG-13,,1256577
Gozu,Pathfinder,Foreign,125,R,,
Voices of Iraq,Magnolia,Documentary,80,Unrated,,
Divan,Zeitgeist,Documentary,77,Unrated,,
The Tracker,Artmattan Prods.,Period Drama,90,Unrated,,449132
Grand Champion,Innovation Film Group,Unknown,94,G,,
Twentynine Palms,Wellspring,Unknown,119,Unrated,,32869
L.A. Twister,Indican,Comedy,92,Unrated,,
RRRrrrr!!!,Christal Films,Foreign,94,Unrated,,13260693
Hiding and Seeking,First Run,Documentary,85,Unrated,,
Alila,Kino,Unknown,122,Unrated,,
After Midnight,Avatar,Foreign,89,Unrated,,1525534
You'll Get Over It,Picture This!,Drama,90,Unrated,,
A Thousand Clouds of Peace,Strand,Unknown,82,Unrated,,
An Amazing Couple:Trilogy 2,Magnolia,Foreign,100,PG,,
Twist,Strand,Unknown,94,R,,
Straight-Jacket,Regent Releasing,Period Comedy,96,Unrated,,
Lana's Rain,ISA Releasing,Unknown,107,R,,
Springtime in a Small Town,Palm,Unknown,116,PG,,
Adored:Diary of a Male Porn Star,Wolfe Releasing,Unknown,101,Unrated,,
Close Your Eyes,First Look,Unknown,108,R,10000000,
Tom Dowd and the Language of Music,Palm,Documentary,82,Unrated,,
Tying the Knot,IDP,Documentary,81,Unrated,,
Sex is Comedy,IFC,Foreign,92,R,,
La Vie Promise,Empire,Foreign,94,Unrated,,
Justice,Jujitsu Films,Unknown,104,R,,
Father and Son,Wellspring,Foreign,83,Unrated,,
Incident at Loch Ness,Abramorama,Unknown,104,PG-13,,
After Freedom,Vitagraph,Unknown,,Unrated,,
"Goodbye, Dragon Inn",Wellspring,Foreign,81,Unrated,,
Showboy,Regent Releasing,Unknown,93,Unrated,,
La Petite Lili,First Run,Foreign,94,Unrated,,
Anatomy of Hell,Tartan,Foreign,80,Unrated,,
Cowboys and Angels,TLA Releasing,Comedy / Drama,89,Unrated,,
Blind Shaft,Kino,Unknown,92,Unrated,,
L'Age d'Or (Re-issue),Kino,Foreign,90,Unrated,,
Last Life in the Universe,Palm,Foreign,112,R,,
Stander,Newmarket,Action / Crime,116,R,,
Fabled,Indican,Thriller,84,Unrated,,
The Raspberry Reich,Strand,Comedy,90,Unrated,,
Chooch,Artistic License,Comedy,81,Unrated,,
The Take,Icarus Films,Documentary,87,Unrated,,
Weapons of Mass Deception,Cinema Libre,Documentary,100,Unrated,,
A Fond Kiss,Castle Hill,Romance,104,R,,6517493
Gypsy '83,Small Planet,Unknown,94,R,,
Empathy,Icarus Films,Documentary,92,Unrated,,
A Foreign Affair,Innovation Film Group,Unknown,94,PG-13,,
Hearts and Minds (Re-issue),Rialto,Unknown,112,R,,
Superstar in a Housedress,Abramorama,Unknown,95,Unrated,,
The Umbrellas of Cherbourg (Re-issue),Zeitgeist,Unknown,92,Unrated,,8402
After the Life:Trilogy 3,Magnolia,Foreign,124,R,,
A Fish Without a Bicycle,Echelon Ent.,Romantic Comedy,97,R,,
Cowards Bend the Knee,Zeitgeist,Drama,64,Unrated,,
Maestro,Artrution,Unknown,77,Unrated,,
Shade,RKO,Unknown,95,R,10000000,
Eat This New York,Organic Pictures,Unknown,80,Unrated,,
Bang Rajan,Magnolia,Foreign,71,R,,
Incantato,Northern Arts,Unknown,107,Unrated,,
Frankie and Johnny Are Married,IFC,Unknown,95,R,,
Son Frere,Strand,Unknown,96,Unrated,,
S21:The Khmer Rouge Killing Machine,First Run,Unknown,101,Unrated,,472
Easy,Magic Lamp,Romantic Comedy,99,R,,32236
The Burial Society,Regent Releasing,Unknown,94,R,,
Orwell Rolls in His Grave,Sag Harbor Basement,Documentary,103,Unrated,,
A Talking Picture,Kino,Foreign,96,Unrated,,
Merci Docteur Rey,Regent Releasing,Comedy,95,PG,,
Asambhav,Eros,Foreign,139,Unrated,,
The Manson Family,Zion,Unknown,84,Unrated,,
Purple Butterfly,Palm,Foreign,127,R,,
Transfixed,Picture This!,Foreign,105,Unrated,,
Faster (2004),Slamdance on the Road,Documentary,103,PG-13,,
Perfect Opposites,MAC Releasing,Unknown,90,PG-13,,
It's Easier for a Camel,New Yorker,Foreign,116,Unrated,,
People Say I'm Crazy,Palo Alto Pictures,Documentary,84,Unrated,,
A Letter to True,Zeitgeist,Unknown,78,Unrated,,
Off the Lip,Hannover House,Unknown,87,R,,
Reeseville,Innovation Film Group,Unknown,100,R,,
Who Killed Bambi?,Strand,Foreign,126,Unrated,,
The 24th Day,Screen Media,Unknown,96,R,,
A Silent Love,Atopia,Comedy / Drama,100,Unrated,,
Crutch,Illuminare Entertainment,Unknown,90,Unrated,,
"Yes Nurse, No Nurse",Regent Releasing,Foreign,100,Unrated,,
La Mentale:The Code,IDP,Unknown,116,R,,
Raja,Film Movement,Unknown,112,Unrated,,
Spin (2004),Innovation Film Group,Unknown,107,PG-13,,
The Dust Factory,MGM,Fantasy Drama,99,PG,,
Big Ain't Bad,Big Ain't Bad Prods.,Unknown,118,R,,
Close Call,Prime Media Pictures,Unknown,93,Unrated,,
Rick,Vitagraph,Unknown,100,R,,
Intoxicating,Rogue Arts,Unknown,102,Unrated,,
Pauly Shore is Dead,Regent Releasing,Unknown,90,R,,
MC5:A True Testimonial,Avatar,Unknown,120,Unrated,,
Mind the Gap,Zion,Unknown,134,R,,
Let's Get Frank,Random Productions,Documentary,75,Unrated,,
Oasis,Lifesize,Unknown,132,Unrated,,6686648
Cuba:Island of Music,Cinema Four,Documentary,80,Unrated,,
Virgin,Artistic License,Unknown,114,Unrated,,
I'll Sing for You,First Run,Unknown,76,Unrated,,
Imagining Argentina,Arenas Entertainment,Romantic Thriller,107,R,,
Evil Remains,Screen Media,Unknown,88,R,,
Kaena:The Prophecy,IDP,Animation,81,PG-13,,
The Intended,IFC,Period Drama,109,Unrated,,
With All Deliberate Speed,Empire,Unknown,60,Unrated,,
Wasabi Tuna,Cafe Entertainment Studio,Unknown,92,R,,
Silent Waters,First Run,Foreign,95,Unrated,,
Wake,Echelon Ent.,Unknown,94,Unrated,,
Los Angeles Plays Itself,Burton/Floyd,Documentary,169,Unrated,,
Master of the Game,Sundance Film Series,Unknown,95,R,,
The Last Place on Earth,Panorama,Unknown,396,PG-13,,
It's All About Love,Strand,Unknown,104,R,,437260
Love Object,Vitagraph,Unknown,90,R,,
Klezmer on Fish Street,Castle Hill,Unknown,85,Unrated,,
Particles of Truth,Dada Films,Unknown,101,R,,
Bright Future,Palm,Foreign,92,Unrated,,
Whore,Screen Media,Unknown,87,R,,
Home of the Brave (2004),Emerging Pictures,Documentary,157,Unrated,,
How to Draw a Bunny,Palm,Unknown,90,Unrated,,
The Life and Times of Allen Ginsberg (Re-issue),New Yorker,Documentary,84,Unrated,,
Open My Heart,Strand,Foreign,93,Unrated,,
The Hillside Strangler,Tartan,Unknown,96,R,,
Stella Street,Strand,Unknown,78,R,,
Dolls,Palm,Foreign,113,Unrated,,
Bandido,Innovation Film Group,Unknown,99,R,,
Saints and Sinners,Avatar,Documentary,80,Unrated,,
My Wife Maurice,TLA Releasing,Unknown,105,Unrated,,
The Green Butchers,Newmarket,Foreign,100,R,,
The Big Animal,Milestone,Comedy,70,Unrated,,
"Still, the Children Are Here",Icarus Films,Documentary,85,Unrated,,
Brothers in Arms,First Run,Documentary,86,R,,
Moog,Plexifilm,Unknown,70,Unrated,,
Cockfight,Echelon Ent.,Unknown,,R,,
Tamala 2010,Vitagraph,Unknown,91,Unrated,,
Abouna,Leisure Time,Unknown,84,Unrated,,
The Outskirts,Facets,Unknown,95,Unrated,,
The Child I Never Was,Strand,Foreign,83,Unrated,,
Conspiracy of Silence,Watch Releasing,Unknown,87,Unrated,,
Risk/Reward,Organic Pictures,Unknown,88,Unrated,,
Swing,RMH Media,Fantasy Comedy,104,PG-13,,
The Other World,Artmattan Prods.,Foreign,95,Unrated,,
Moto X Kids,Tag Entertainment,Family Adventure,82,PG,,
Firedancer,Cinema Four,Drama,79,Unrated,,
The Road to Love,Arab Film Dist.,Foreign,70,Unrated,,
Marathon,Cinema Four,Foreign,74,Unrated,,
Persons of Interest,First Run,Documentary,63,Unrated,,
Rockets Redglare!,Small Planet,Documentary,89,Unrated,,
What Boys Like,Visionbox,Unknown,90,R,,
Free Radicals,Kino,Foreign,120,Unrated,,
Shwaas,Kathi Arts,Foreign,107,Unrated,,
Big Girls Don't Cry,Strand,Foreign,92,Unrated,,
Freeze Frame,First Look,Unknown,100,R,,
Producing Adults,Wolfe Releasing,Foreign,100,Unrated,,
800 Bullets,TLA Releasing,Foreign,124,R,,
Anatomy 2,Strand,Foreign,101,R,,
"Jesus, You Know",Leisure Time,Documentary,87,Unrated,,
Tasuma:The Fighter,Artmattan Prods.,Foreign,90,Unrated,,
The Lord of the Rings:The Return of the King,New Line,Fantasy,200,PG-13,94000000,377845905
Finding Nemo,Buena Vista,Animation,104,G,94000000,380843261
Pirates of the Caribbean:The Curse of the Black Pearl,Buena Vista,Period Adventure,135,PG-13,140000000,348850097
The Matrix Reloaded,Warner Bros.,Sci-Fi Action,138,R,150000000,460552000
Bruce Almighty,Universal,Fantasy Comedy,101,PG-13,81000000,241763613
X2:X-Men United,Fox,Action / Adventure,134,PG-13,110000000,192761855
Elf,New Line,Comedy,95,PG,33000000,173398518
Terminator 3:Rise of the Machines,Warner Bros.,Sci-Fi Action,109,R,200000000,283000000
The Matrix Revolutions,Warner Bros.,Sci-Fi Action,135,R,150000000,288029350
Cheaper by the Dozen,Fox,Family Comedy,98,PG,40000000,51597569
Bad Boys II,Sony / Columbia,Action Comedy,147,R,130000000,134731112
Anger Management,Sony (Revolution),Comedy,101,PG-13,75000000,60100000
Bringing Down the House,Buena Vista,Comedy,105,PG-13,33000000,32013002
Hulk,Universal,Action / Adventure,135,PG-13,137000000,113183246
2 Fast 2 Furious,Universal,Action,101,PG-13,76000000,109195760
Something's Gotta Give,Sony / Columbia,Romantic Comedy,128,PG-13,80000000,142000000
Seabiscuit,Universal,Sports Drama,129,PG-13,87000000,28058591
S.W.A.T.,Sony / Columbia,Action Thriller,111,PG-13,80000000,90790989
Spy Kids 3D:Game Over,Dimension Films,Family Adventure,85,PG,38000000,85250000
The Last Samurai,Warner Bros.,War,154,R,140000000,345631718
Freaky Friday,Buena Vista,Fantasy Comedy,97,PG,20000000,50616000
Scary Movie 3,Dimension Films,Horror Comedy,90,PG-13,48000000,110670000
The Italian Job,Paramount,Action / Crime,111,PG-13,60000000,69941570
How to Lose a Guy in 10 Days,Paramount,Romantic Comedy,116,PG-13,,71558068
American Wedding,Universal,Comedy,102,R,55000000,126884089
Daddy Day Care,Sony (Revolution),Comedy,92,PG,60000000,60136806
Daredevil,Fox,Action / Adventure,97,PG-13,78000000,76636200
The Cat in the Hat,Universal,Family Comedy,82,PG,109000000,32811256
Charlie's Angels:Full Throttle,Sony / Columbia,Action Comedy,105,PG-13,120000000,158345677
Cold Mountain,Miramax,War Romance,155,R,79000000,77377000
Master and Commander:The Far Side of the World,Fox,War,138,PG-13,150000000,118083191
"Legally Blonde 2:Red, White and Blonde",MGM,Comedy,95,PG-13,45000000,34728514
Mystic River,Warner Bros.,Crime Drama,138,R,25000000,66686829
Brother Bear,Buena Vista,Animation,85,G,,165061521
Freddy Vs. Jason,New Line,Horror Comedy,98,R,30000000,32286175
School of Rock,Paramount,Comedy,110,PG-13,35000000,50021772
The Texas Chainsaw Massacre,New Line,Horror,90,R,,80571655
The Haunted Mansion,Buena Vista,Family Adventure,99,PG,90000000,106443000
Old School,DreamWorks,Comedy,91,R,24000000,11470256
Kill Bill Vol. 1,Miramax,Action,110,R,30000000,110850000
Holes,Buena Vista,Family Adventure,117,PG,20000000,4000000
Kangaroo Jack,Warner Bros.,Family Comedy,89,PG,60000000,21994148
Big Fish,Sony / Columbia,Fantasy Drama,125,PG-13,70000000,56109362
The League of Extraordinary Gentlemen,Fox,Period Adventure,112,PG-13,78000000,112800000
Lara Croft Tomb Raider:The Cradle of Life,Paramount,Action / Adventure,110,PG-13,95000000,90845192
Mona Lisa Smile,Sony (Revolution),Period Drama,117,PG-13,65000000,77477047
Shanghai Knights,Buena Vista,Western Comedy,114,PG-13,50000000,27846615
Bad Santa,Dimension Films,Crime Comedy,93,R,23000000,16428561
Love Actually,Universal,Romantic Comedy,128,R,40000000,187245873
Gothika,Warner Bros.,Horror,95,R,40000000,81896744
Open Range,Buena Vista,Western,139,R,22000000,9965039
Once Upon a Time in Mexico,Sony / Columbia,Action,97,R,29000000,41825802
Just Married,Fox,Romantic Comedy,95,PG-13,18000000,45437773
Paycheck,Paramount,Sci-Fi Action,119,PG-13,60000000,42479361
The Recruit,Buena Vista,Action Thriller,105,PG-13,,48389744
Radio,Sony (Revolution),Sports Drama,105,PG,35000000,959890
Identity,Sony / Columbia,Thriller,87,R,28000000,38100000
Underworld,Sony / Screen Gems,Action Horror,115,R,22000000,43737767
Runaway Jury,Fox,Thriller,123,PG-13,60000000,30710512
Peter Pan,Universal,Family Adventure,113,PG,100000000,73512403
Agent Cody Banks,MGM,Family Adventure,110,PG,28000000,10857484
