Movie,Distributor,Genre,RunTime,MPAA,Budget,ForeignSale
Our Last Tango,Strand,Foreign,85,Unrated,,
"New York, New York (2016)",China Lion,Drama,106,Unrated,,
"Life, Animated",The Orchard,Documentary,89,Unrated,,
Zero Days,Magnolia,Documentary,114,PG-13,,
No One's Life Is Easy:So I Married an Anti-Fan,China Lion,Comedy,96,Unrated,,
Los Sures,Oscilloscope Pictures,Documentary,57,Unrated,,
Mountains May Depart,Kino Lorber,Drama,131,Unrated,,
Vita Activa:The Spirit of Hannah Arendt,Zeitgeist,Documentary,125,Unrated,,
Fireworks Wednesday,Grasshopper Film,Drama,102,Unrated,,
Les cowboys,Cohen Media Group,Drama,104,R,,
Colliding Dreams,International Film Circuit,Documentary,134,Unrated,,
Sweet Bean,Kino Lorber,Drama,113,Unrated,,
Saala Khadoos,UTV Communications,Sports Drama,110,Unrated,,
Hillary's America:The Secret History of the Democratic Party,Quality Flix,Documentary,,PG-13,,74813
Sweet 20,CJ Entertainment,Comedy,127,Unrated,,
Our Little Sister,Sony Classics,Drama,128,PG,,
The Congressman,Shadow Dist.,Comedy / Drama,98,R,,
The Kind Words,Strand,Comedy / Drama,118,Unrated,,
The Dark Horse,Broad Green Pictures,Drama,124,R,,67533
Phantom Detective,CJ Entertainment,Action Comedy,125,Unrated,,
Ran (2016 re-issue),Rialto,Drama,162,Unrated,,
Trapped (2016),Abramorama,Documentary,80,Unrated,,
Creative Control,Magnolia,Drama,97,R,,
Raiders!:The Story of the Greatest Fan Film Ever Made,Drafthouse,Documentary,95,Not Yet Rated,,
Too Late,Vanishing Angle Films,Drama,109,Unrated,,
Time Renegades,CJ Entertainment,Fantasy,107,Unrated,,
Sold,Matson Films,Drama,97,PG-13,,
DONGJU:The Portrait of a Poet,CJ Entertainment,Drama,110,Unrated,,
Wedding Doll,Strand,Drama,82,Unrated,,
L'attesa,Oscilloscope Pictures,Drama,110,Unrated,,
Regression,Weinstein / Dimension,Thriller,106,R,,17616062
Clown,Weinstein / Dimension,Horror Thriller,99,R,,
Diary of a Chambermaid,Cohen Media Group,Drama,96,Unrated,,
High Strung (2016),Paladin,Music Drama,96,PG,,
The Club,Music Box Films,Drama,98,Unrated,,
The Fallen Idol (2016 re-issue),Rialto,Drama,95,Unrated,,
The Last Man on the Moon,Gravitas Ventures,Documentary,99,Unrated,,
So Young 2:Never Gone,China Lion,Romance,100,Not Yet Rated,,
Cemetery of Splendor,Strand,Drama,122,Unrated,,
King Georges,IFC,Documentary,77,Unrated,,
In the Shadow of Women,Distrib Films,Drama,73,Unrated,,
Pele:Birth of a Legend,IFC,Sports Drama,107,PG,,
The Treasure,Sundance Selects,Comedy,89,Unrated,,
Ma ma,Oscilloscope Pictures,Drama,111,Not Yet Rated,,1090163
Under the Sun (2016),Icarus Films,Documentary,106,Unrated,,
"My Love, Don't Cross that River",Film Movement,Documentary,86,Unrated,,
A Melody to Remember,CJ Entertainment,War Drama,124,Unrated,,
Phantom of the Theatre,Well Go USA,Fantasy,103,Unrated,,
Mastizaade,Eros,Comedy,119,Unrated,,
The Homeless Billionaire,Hannover House,Romantic Comedy,,Unrated,,
Catching the Sun,The Film Collaborative,Documentary,75,Unrated,,
